568	49.70	
569	29.29	
570	10.98	
571	42.95	
572	50.06	
573	49.96	
574	49.71	
575	10.97	
576	49.72	
577	43.80	
578	41.08	
579	32.26	
580	3.19	
581	21.19	
582	49.62	
583	49.74	
584	49.92	
585	44.43	
586	49.55	
587	31.28	
588	40.49	
589	31.49	
590	35.81	
591	49.70	
592	49.71	
593	14.92	
594	5.14	
595	49.94	
596	18.78	
597	47.54	
598	38.04	
599	49.70	
600	43.71	
601	21.11	
602	49.82	
603	23.55	
604	3.21	
605	13.59	
606	50.41	
607	15.67	
608	50.06	
609	42.64	
610	49.72	
611	24.80	
612	40.46	
613	43.08	
614	26.56	
615	49.71	
616	49.91	
617	41.64	
618	21.92	
619	49.97	
620	49.73	
621	32.07	
622	43.62	
623	16.61	
624	12.55	
625	49.70	
626	34.50	
627	22.73	
628	35.93	
629	24.06	
630	15.25	
631	49.74	
632	43.55	
633	32.05	
634	49.73	
635	20.89	
636	21.91	
637	49.73	
638	49.94	
639	49.73	
640	49.90	
641	23.88	
642	40.88	
643	39.00	
644	33.36	
645	26.53	
646	49.97	
647	23.27	
648	49.74	
649	10.23	
650	49.73	
651	5.12	
652	15.68	
653	45.84	
654	40.60	
655	28.13	
656	49.75	
657	1.10	
658	6.11	
659	49.73	
660	49.97	
661	49.73	
662	1.63	
663	49.83	
664	49.75	
665	49.73	
666	9.17	
667	10.54	
668	49.73	
669	20.36	
670	40.99	
671	4.19	
672	25.03	
673	49.74	
674	39.19	
675	47.64	
676	28.13	
677	12.33	
678	9.55	
679	19.69	
680	49.75	
681	32.19	
682	32.93	
683	49.73	
684	34.29	
685	10.24	
686	35.84	
687	20.88	
688	13.06	
689	49.75	
690	11.01	
691	44.02	
692	49.80	
693	49.96	
694	49.76	
695	49.75	
696	49.73	
697	14.15	
698	49.75	
699	19.54	
700	50.10	
701	11.80	
702	38.05	
703	49.75	
704	51.34	
705	22.75	
706	20.75	
707	48.21	
708	43.96	
709	44.19	
710	48.21	
711	49.94	
712	25.04	
713	46.70	
714	49.94	
715	13.45	
716	34.32	
717	9.23	
718	49.76	
